,seed,dataset,num_clients,split,split_args,model,model_params,glob_c_idx,glob_c_idx_ipcw,glob_ibs,iso_c_idx,iso_c_idx_ipcw,iso_ibs,fed_c_idx,fed_c_idx_ipcw,fed_ibs
294,5306,Aids2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",cox_ph,{'epochs': 500},0.552029102213566,0.5399768537239806,0.158704717019592,0.5243098992471629,0.5186729223941308,0.1615688619093838,0.5548756507734373,0.5413390998624841,0.1584739029545831
298,5306,Aids2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",deephit,{'epochs': 500},0.4843486647439979,0.4885902422762984,0.1631696422953444,0.5336595003558186,0.5239379794846977,0.1689969530366872,0.55517528746395,0.5412031287438656,0.1599327197484119
295,5306,Aids2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",deepsurv,{'epochs': 500},0.5473753698640399,0.5329904589871605,0.1634835864458272,0.5419472639424697,0.5340648458668427,0.1600147965552913,0.5465794599048653,0.5363670508787477,0.1576361768413322
297,5306,Aids2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",nmtlr,{'epochs': 500},0.5654003895276977,0.551660808824795,0.1626753234307657,0.5403662122176861,0.5305755921007986,0.1611485277360365,0.5442198209670774,0.533278258418136,0.1587037354617711
296,5306,Aids2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",nnet-survival,{'epochs': 500},0.5654940259934829,0.5517633919918623,0.1610585686227807,0.524239671897824,0.5216609267257383,0.1635827774418005,0.5373469043784411,0.5294170578730424,0.1618574379358821
299,5306,Aids2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",pc-hazard,{'epochs': 500},0.543854638750515,0.5297223742215497,0.1623856057192706,0.5122504588186823,0.5112115929315568,0.164225800109293,0.5354648114161579,0.5294739842734493,0.1620439374089877
358,5306,Aids2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",rsf,"{'params': {'bootstrap': True, 'max_depth': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 2000, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 500}",0.5674557099516836,0.5515506960176322,0.1597491888307857,0.5399691936027566,0.531480206953527,0.1609484648810661,0.5724512154013259,0.5592582946928445,0.1592800730211713
359,5306,Aids2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",rsf_ibs,"{'params': {'bootstrap': True, 'max_depth': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 2000, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 1000}",0.5674557099516836,0.5515506960176322,0.1597491888307857,0.5399691936027566,0.531480206953527,0.1609484648810661,0.572095396831342,0.5555223018713935,0.1591609958059512
288,5306,Aids2,10,uniform,{'min_samples': 25},cox_ph,{'epochs': 500},0.550774373572044,0.5385814220556425,0.1585314937907799,0.52957788681224,0.5233956982300287,0.1623405800716913,0.5501844638375969,0.5380501013679371,0.1583203993832958
292,5306,Aids2,10,uniform,{'min_samples': 25},deephit,{'epochs': 500},0.4880941233754073,0.492686852789735,0.1630668061614431,0.5286874040226225,0.5202897808950763,0.1662548919407108,0.5659996629087232,0.5486368592870497,0.1602419112474759
289,5306,Aids2,10,uniform,{'min_samples': 25},deepsurv,{'epochs': 500},0.5502593730102251,0.5342668799562191,0.1632546886934855,0.5328233267163565,0.5251224307931605,0.160108673157214,0.5495758268099928,0.5421845312353173,0.1586424699075554
291,5306,Aids2,10,uniform,{'min_samples': 25},nmtlr,{'epochs': 500},0.5632092962283232,0.5482588718954937,0.1648847800889041,0.5429351286565041,0.533892086890074,0.1607669442213974,0.550849282744672,0.5346900128479023,0.1584383887448361
290,5306,Aids2,10,uniform,{'min_samples': 25},nnet-survival,{'epochs': 500},0.5658685718566239,0.5517058503253904,0.1609883791856216,0.505225851155474,0.5059130096936288,0.1643478756752518,0.5464109142664519,0.5362575567347666,0.159749434025821
293,5306,Aids2,10,uniform,{'min_samples': 25},pc-hazard,{'epochs': 500},0.5432928199558036,0.5294156873730735,0.1623294795995308,0.501909247537361,0.5030660534414457,0.1650161569115847,0.5403807258698827,0.5331410634733109,0.1610222644575017
356,5306,Aids2,10,uniform,{'min_samples': 25},rsf,"{'params': {'bootstrap': True, 'max_depth': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 2000, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 500}",0.563761751376456,0.5494038704557657,0.1597683359810072,0.5259377692048391,0.5191779902468009,0.1610215489590018,0.5589160642720701,0.5428696392588436,0.1595184913203201
357,5306,Aids2,10,uniform,{'min_samples': 25},rsf_ibs,"{'params': {'bootstrap': True, 'max_depth': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 2000, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 1000}",0.563761751376456,0.5494038704557657,0.1597683359810072,0.5259377692048391,0.5191779902468009,0.1610215489590018,0.5563223341698191,0.5393589203000445,0.159400355739679
246,5306,GBSG2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",cox_ph,{'epochs': 500},0.6762551366803645,0.662321675682284,0.174141585395188,0.6086474897266394,0.5988074553249106,0.1913369629859873,0.652135072360193,0.6323675574641314,0.1822888302041671
250,5306,GBSG2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",deephit,{'epochs': 500},0.5922815794175451,0.5771629890212495,0.2059565687902136,0.5896015722708594,0.5714485274936715,0.2070405436529453,0.642308379489012,0.6206772902040413,0.191340560987216
247,5306,GBSG2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",deepsurv,{'epochs': 500},0.6046096122922995,0.6107100428957211,0.2088901929446077,0.6052706807218152,0.591522051793176,0.2022942815923222,0.6641057709487226,0.6510687305613843,0.1727081337037638
249,5306,GBSG2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",nmtlr,{'epochs': 500},0.5847775594068251,0.5939612000456621,0.2305397341837793,0.5968554582812221,0.5766465521700239,0.2059307582438199,0.6821511524030731,0.6412445484768825,0.1756259352906401
248,5306,GBSG2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",nnet-survival,{'epochs': 500},0.6601750938002501,0.6590204152143269,0.1786243252935225,0.5463819903519743,0.5438785578680247,0.2392090416158213,0.6228336608897623,0.605496329638207,0.1937614444249321
251,5306,GBSG2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",pc-hazard,{'epochs': 500},0.6430230480614615,0.6382736662075095,0.1902460043973174,0.556262283366089,0.5549794840301169,0.2313310474270465,0.6117562980167948,0.6045209213809092,0.19692811760601
334,5306,GBSG2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",rsf,"{'params': {'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 500}",0.6846524924066464,0.6943060462702528,0.1700607806564878,0.6613453635876362,0.6465806769742469,0.1867165708565522,0.7185992495979989,0.7030826273425779,0.1781074830348167
335,5306,GBSG2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",rsf_ibs,"{'params': {'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 300}",0.6846524924066464,0.6943060462702528,0.1700607806564878,0.6613453635876362,0.6465806769742469,0.1867165708565522,0.7150259067357513,0.7030311099533941,0.1769598840205494
240,5306,GBSG2,10,uniform,{'min_samples': 25},cox_ph,{'epochs': 500},0.6760764695372521,0.6604792950888824,0.1777236741278449,0.6069680185813828,0.591143397994603,0.1960900052864573,0.6349830266214044,0.6180891900333962,0.184681441682885
244,5306,GBSG2,10,uniform,{'min_samples': 25},deephit,{'epochs': 500},0.5922815794175451,0.5771629890212495,0.2059565687902136,0.5770234053957478,0.5700932324575573,0.2128348456196221,0.6308736823298196,0.6255347812037851,0.1900836402432653
241,5306,GBSG2,10,uniform,{'min_samples': 25},deepsurv,{'epochs': 500},0.6024656065749509,0.6093251997880212,0.2122695325629801,0.5939253171341791,0.5836122705638466,0.2037111654669518,0.6433803823476862,0.6287460005054959,0.1797059967755652
